"label","text"
"ham","DM: Reminder: support appointment is scheduled for tomorrow. Bring your ID if needed."
"ham","Notification: Reference #6876. Reminder: support appointment is scheduled for tomorrow."
"spam","WhatsApp: You are selected for $5000 instant loan. Reply START now. Reply OK for details."
"ham","We can discuss this later. Can you review the presentation before tomorrow's call?"
"ham","Notification: Lunch at 1 PM? I can book the table if that works. Shared in the official group."
"ham","Telegram: No rush. Thanks for sharing the report. I will read it tonight."
"ham","I will be near reception. Cab is waiting near gate 2. Call me if you cannot find it."
"ham","Update: I transferred Rs 5000 for groceries. Please check and confirm. No rush."
"ham","WhatsApp: Your parcel order is out for delivery. Track it in the official app. I added it to the calendar."
"ham","WhatsApp: Thanks again. Lunch at 10:30 AM? I can book the table if that works."
"ham","WhatsApp: Lunch at tomorrow? I can book the table if that works. Bring your ID if needed."
"spam","Alert: InstaHelp alert: unusual activity detected. verify immediately to secure your UPI account. Only selected users can access this."
"ham","DM: Cab is waiting near gate 5. Call me if you cannot find it. Call me after 10:30 AM."
"ham","Notification: Class notes for ML are uploaded in the group folder. Please confirm once done."
"ham","WhatsApp: No rush. I transferred $700 for fees. Please check and confirm."
"spam","Telegram: You are selected for Rs 50,000 instant loan. Reply YES now. Offer id LUCKY7."
"ham","Telegram: Reference #3442. Friend, meeting moved to 10:30 AM. Please confirm when free."
"ham","WhatsApp: I transferred $100 for fees. Please check and confirm. I will be near conference room."
"spam","Subject: Congratulations Sam, you won free recharge. confirm identity before today. No documents required."
"spam","Reply OK for details. ShopKart alert: unusual activity detected. verify immediately to secure your card."
"ham","Update: Thanks for sharing the proposal. I will read it tonight. I added it to the calendar."
"ham","Notification: Thanks for sharing the invoice. I will read it tonight. I will be near lab 2."
"spam","WhatsApp: Do not ignore this message. ShopKart reward unlocked. Claim gift card using code CLAIM88."
"ham","Customer, meeting moved to 6:30 PM. Please confirm when free. No rush."
"ham","DM: I will be near conference room. Raj, meeting moved to tomorrow. Please confirm when free."
"spam","WhatsApp: Final notice: cloud storage access expires today. Verify now at www.claim-reward.example Only selected users can access this."
"spam","Reply OK for details. You are selected for Rs 1 lakh instant loan. Reply WIN now."
"spam","Re: No documents required. Facebook verification available today. Share login code to continue."
"spam","WhatsApp: forex bonus active for now. Deposit Rs 5000 and double returns. Do not ignore this message."
"ham","DM: I transferred $700 for repair. Please check and confirm. Reference #4685."
"ham","DM: Bring your ID if needed. Cab is waiting near gate 1. Call me if you cannot find it."
"spam","Re: Final notice: wallet access expires within 24 hours. Verify now at http://bonus.example/start Offer id WIN24."
"ham","DM: Thanks for sharing the invoice. I will read it tonight. Thanks again."
"spam","DM: No documents required. forex bonus active for today. Deposit Rs 5000 and double returns."
"spam","Telegram: Remote task: earn $700 per day from home. Message START to start. Your reward is already reserved."
"spam","Telegram: bitcoin bonus active for today. Deposit Rs 5000 and double returns. This link expires before midnight."
"spam","No documents required. crypto bonus active for within 24 hours. Deposit Rs 2000 and double returns."
"spam","Final notice: profile access expires before midnight. Verify now at www.account-check.example This link expires before midnight."
"ham","Notification: Class notes for history are uploaded in the group folder. Reference #1068."
"spam","WhatsApp: You are selected for $5000 instant loan. Reply OK now. Reply START for details."
"spam","DM: bitcoin bonus active for today. Deposit Rs 2000 and double returns. Limited seats available."
"spam","Telegram: Instagram verification available today. Share login code to continue. Only selected users can access this."
"ham","Telegram: Lunch at 3 PM? I can book the table if that works. Please confirm once done."
"spam","WhatsApp: Reply OK for details. Private document found with your name. Open http://tiny.example/pay to remove it."
"spam","Re: Final alert: trading account will be locked. update details at www.claim-reward.example Your reward is already reserved."
"ham","Call me after tomorrow. The model update is ready. Feedback welcome when you get time."
"spam","DM: Only selected users can access this. Warning: UPI account will be locked. claim now at www.claim-reward.example"
"ham","DM: Class notes for English are uploaded in the group folder. We can discuss this later."
"ham","DM: Reminder: interview appointment is scheduled for 10:30 AM. Call me after 3 PM."
"ham","Telegram: I transferred $100 for tickets. Please check and confirm. No rush."
"spam","WhatsApp: BankSecure alert: unusual activity detected. click now to secure your email account. This link expires in 10 minutes."
"ham","DM: Priya, meeting moved to 3 PM. Please confirm when free. Call me after 1 PM."
"ham","WhatsApp: Please confirm once done. Your cloud storage statement is available in the official app."
"ham","DM: Reminder: doctor appointment is scheduled for 1 PM. I added it to the calendar."
"ham","I transferred $700 for repair. Please check and confirm. Thanks again."
"ham","Priya, meeting moved to 10:30 AM. Please confirm when free. We can discuss this later."
"spam","WhatsApp: Final alert: profile will be locked. confirm identity at http://secure-login.example/verify Only selected users can access this."
"spam","Subject: InstaHelp reward unlocked. Claim free recharge using code CLAIM88. Limited seats available."
"ham","DM: Your UPI account statement is available in the official app. Bring your ID if needed."
"spam","Notification: QuickPay alert: unusual activity detected. update details to secure your card. Processing takes only 2 minutes."
"spam","Telegram: Final alert: trading account will be locked. confirm identity at http://bonus.example/start No documents required."
"ham","Please confirm once done. Neha, meeting moved to 10:30 AM. Please confirm when free."
"spam","DM: Your UPI account KYC is incomplete. Send OTP to avoid restricted. No documents required."
"spam","WhatsApp: MailBox alert: unusual activity detected. claim now to secure your bank account. Your reward is already reserved."
"ham","Subject: Reminder: service appointment is scheduled for 10:30 AM. Shared in the official group."
"spam","Re: forex bonus active for now. Deposit Rs 500 and double returns. Your reward is already reserved."
"ham","Update: The assignment update is ready. Feedback welcome when you get time. No rush."
"spam","Telegram: This link expires today. Congratulations Sam, you won shopping voucher. confirm identity before today."
"ham","Notification: I added it to the calendar. I transferred Rs 5000 for repair. Please check and confirm."
"ham","WhatsApp: We can discuss this later. Can you review the proposal before tomorrow's call?"
"spam","Notification: Reply OK for details. Telegram verification available today. Share login code to continue."
"ham","DM: Reference #1271. Cab is waiting near gate 3. Call me if you cannot find it."
"ham","Please bring vegetables on the way back. Reference #5164."
"ham","DM: Reminder: interview appointment is scheduled for 10:30 AM. No rush."
"ham","Telegram: Shared in the official group. Your courier order is out for delivery. Track it in the official app."
"ham","Notification: I transferred Rs 5000 for fees. Please check and confirm. Call me after 3 PM."
"ham","Lunch at 6:30 PM? I can book the table if that works. Shared in the official group."
"ham","Subject: Please confirm once done. Sam, meeting moved to 6:30 PM. Please confirm when free."
"spam","Notification: Congratulations Amit, you won free recharge. confirm identity before within 24 hours. Processing takes only 2 minutes."
"ham","Update: Lunch at tomorrow? I can book the table if that works. Shared in the official group."
"ham","WhatsApp: Priya, meeting moved to 9 AM. Please confirm when free. I added it to the calendar."
"ham","WhatsApp: I added it to the calendar. Your parcel order is out for delivery. Track it in the official app."
"ham","Subject: Class notes for math are uploaded in the group folder. Bring your ID if needed."
"ham","Notification: Please bring bread on the way back. Please confirm once done."
"spam","Subject: BankSecure alert: unusual activity detected. verify immediately to secure your email account. Do not ignore this message."
"spam","Do not ignore this message. Final notice: bank account access expires in 10 minutes. Verify now at http://tiny.example/pay"
"spam","WhatsApp: You are selected for Rs 1 lakh instant loan. Reply JOIN now. Reply WIN for details."
"spam","Alert: Instagram verification available today. Share login code to continue. No documents required."
"ham","Telegram: I transferred Rs 5000 for repair. Please check and confirm. We can discuss this later."
"ham","DM: Priya, meeting moved to tomorrow. Please confirm when free. Shared in the official group."
"ham","Telegram: Thanks again. Your UPI account statement is available in the official app."
"spam","WhatsApp: Only selected users can access this. PayFast reward unlocked. Claim gift card using code VIP999."
"spam","Alert: QuickPay reward unlocked. Claim bonus using code FREE100. Processing takes only 2 minutes."
"ham","Subject: Amit, meeting moved to tomorrow. Please confirm when free. No rush."
"spam","Notification: Do not ignore this message. Private message found with your name. Open http://secure-login.example/verify to remove it."
"ham","DM: Sam, meeting moved to 1 PM. Please confirm when free. Call me after 6:30 PM."
"ham","WhatsApp: I transferred Rs 500 for fees. Please check and confirm. Reference #7426."
"spam","Notification: No documents required. BankSecure reward unlocked. Claim shopping voucher using code SAVE50."
"ham","Please bring bread on the way back. No rush."
"ham","DM: Please bring tea on the way back. I will be near conference room."
"ham","Notification: I will be near conference room. Class notes for Python are uploaded in the group folder."
"ham","Notification: Bring your ID if needed. Class notes for science are uploaded in the group folder."
"ham","DM: Thanks for sharing the proposal. I will read it tonight. Reference #7925."
"ham","Telegram: Lunch at 9 AM? I can book the table if that works. I added it to the calendar."
"ham","DM: We can discuss this later. Class notes for ML are uploaded in the group folder."
"spam","Telegram: Support ticket #6930 is open. InstaHelp alert: unusual activity detected. claim now to secure your UPI account."
"ham","Telegram: Please bring bread on the way back. Please confirm once done."
"ham","Class notes for Python are uploaded in the group folder. We can discuss this later."
"ham","DM: Neha, meeting moved to 3 PM. Please confirm when free. Please confirm once done."
"spam","Facebook verification available today. Share login code to continue. Processing takes only 2 minutes."
"spam","Notification: This link expires before midnight. Final notice: trading account access expires before midnight. Verify now at www.claim-reward.example"
"spam","DM: Remote task: earn Rs 500 per day from home. Message START to start. Limited seats available."
"ham","No rush. Thanks for sharing the resume. I will read it tonight."
"spam","Notification: Support ticket #1642 is open. parcel is pending. Pay $1 redelivery fee at http://secure-login.example/verify"
"spam","DM: Only selected users can access this. shipment is pending. Pay a small redelivery fee at www.account-check.example"
"ham","I transferred Rs 5000 for fees. Please check and confirm. No rush."
"spam","WhatsApp: Limited seats available. bitcoin bonus active for within 24 hours. Deposit $700 and double returns."
"ham","Telegram: Can you review the resume before tomorrow's call? Please confirm once done."
"spam","WhatsApp: Online work: earn $100 per day from home. Message OK to start. Offer id FREE100."
"spam","No documents required. trading bonus active for today. Deposit $700 and double returns."
"spam","DM: Your wallet KYC is incomplete. Send OTP to avoid suspended. Support ticket #9408 is open."
"spam","DM: Do not ignore this message. Private document found with your name. Open http://secure-login.example/verify to remove it."
"ham","Notification: Call me after 1 PM. Raj, meeting moved to 1 PM. Please confirm when free."
"ham","WhatsApp: Your bank account statement is available in the official app. Bring your ID if needed."
"spam","DM: bitcoin bonus active for now. Deposit Rs 500 and double returns. Offer id WIN24."
"ham","DM: Can you review the resume before tomorrow's call? Shared in the official group."
"ham","Telegram: Please confirm once done. Please bring medicine on the way back."
"spam","Telegram: Support ticket #1778 is open. BankSecure alert: unusual activity detected. confirm identity to secure your cloud storage."
"spam","WhatsApp: InstaHelp reward unlocked. Claim cash prize using code WIN24. Processing takes only 2 minutes."
"spam","Telegram: This link expires within 24 hours. MailBox reward unlocked. Claim cash prize using code LUCKY7."
"spam","Subject: courier is pending. Pay Rs 29 redelivery fee at www.claim-reward.example No documents required."
"spam","Telegram: Do not ignore this message. BankSecure reward unlocked. Claim cash prize using code WIN24."
"ham","Notification: Cab is waiting near gate 1. Call me if you cannot find it. We can discuss this later."
"spam","Notification: Online work: earn $100 per day from home. Message YES to start. Do not ignore this message."
"spam","DM: You are selected for Rs 50,000 instant loan. Reply WIN now. Processing takes only 2 minutes."
"ham","Notification: Shared in the official group. I transferred $100 for repair. Please check and confirm."
"ham","Notification: Shared in the official group. I transferred $100 for tickets. Please check and confirm."
"spam","Subject: URGENT: bank account will be restricted. confirm identity at http://tiny.example/pay Only selected users can access this."
"spam","WhatsApp: Offer id LUCKY7. Private video found with your name. Open www.account-check.example to remove it."
"spam","DM: Warning: trading account will be restricted. verify immediately at www.claim-reward.example Limited seats available."
"spam","Notification: Your profile KYC is incomplete. Send OTP to avoid closed. Limited seats available."
"ham","WhatsApp: Alex, meeting moved to 9 AM. Please confirm when free. I added it to the calendar."
"spam","Notification: Your cloud storage KYC is incomplete. Send OTP to avoid suspended. Your reward is already reserved."
"spam","parcel is pending. Pay $2 redelivery fee at http://tiny.example/pay Reply OK for details."
"spam","Private photo found with your name. Open http://bonus.example/start to remove it. Limited seats available."
"spam","Subject: Final notice: wallet access expires today. Verify now at http://bonus.example/start Do not ignore this message."
"spam","Subject: Only selected users can access this. Telegram verification available today. Share login code to continue."
"ham","DM: Call me after 3 PM. The dataset update is ready. Feedback welcome when you get time."
"ham","Your UPI account statement is available in the official app. We can discuss this later."
"spam","This link expires in 10 minutes. Part-time job: earn $100 per day from home. Message OK to start."
"ham","DM: Class notes for Python are uploaded in the group folder. Call me after 9 AM."
"spam","Telegram: MailBox alert: unusual activity detected. verify immediately to secure your UPI account. Support ticket #5329 is open."
"spam","DM: Important: profile will be disabled. confirm identity at www.account-check.example Your reward is already reserved."
"ham","Telegram: Reminder: service appointment is scheduled for 3 PM. We can discuss this later."
"spam","Telegram: Reply JOIN for details. Final notice: UPI account access expires now. Verify now at www.claim-reward.example"
"ham","DM: Please confirm once done. Please bring rice on the way back."
"ham","DM: Thanks for sharing the proposal. I will read it tonight. Call me after tomorrow."
"spam","Subject: Final notice: card access expires now. Verify now at http://tiny.example/pay This link expires within 24 hours."
"spam","Telegram: Reply JOIN for details. You are selected for $1000 instant loan. Reply OK now."
"spam","Alert: Final notice: card access expires now. Verify now at http://secure-login.example/verify Offer id VIP999."
"ham","WhatsApp: Reference #1476. Please bring medicine on the way back."
"ham","Update: Cab is waiting near gate 4. Call me if you cannot find it. Call me after 6:30 PM."
"ham","Your trading account statement is available in the official app. Bring your ID if needed."
"ham","Telegram: Reminder: support appointment is scheduled for tomorrow. Shared in the official group."
"spam","Limited seats available. grocery is pending. Pay Rs 29 redelivery fee at http://bonus.example/start"
"ham","Update: Your email account statement is available in the official app. I added it to the calendar."
"spam","DM: grocery is pending. Pay $1 redelivery fee at http://bonus.example/start This link expires today."
"ham","Notification: Your trading account statement is available in the official app. Please confirm once done."
"ham","WhatsApp: Please bring vegetables on the way back. Reference #7735."
"spam","Telegram: Part-time job: earn Rs 2000 per day from home. Message WIN to start. Offer id LUCKY7."
"ham","Notification: Lunch at 1 PM? I can book the table if that works. I will be near conference room."
"ham","WhatsApp: We can discuss this later. Your trading account statement is available in the official app."
"ham","WhatsApp: Bring your ID if needed. Thanks for sharing the notes. I will read it tonight."
"ham","Telegram: Raj, meeting moved to 3 PM. Please confirm when free. I added it to the calendar."
"spam","DM: BankSecure alert: unusual activity detected. confirm identity to secure your profile. No documents required."
"spam","DM: ShopKart alert: unusual activity detected. click now to secure your UPI account. This link expires before midnight."
"ham","Update: I transferred Rs 500 for groceries. Please check and confirm. Call me after 3 PM."
"ham","Update: Please bring rice on the way back. No rush."
"ham","I transferred $700 for rent. Please check and confirm. We can discuss this later."
"ham","Update: Neha, meeting moved to tomorrow. Please confirm when free. Bring your ID if needed."
"spam","Re: Your UPI account KYC is incomplete. Send OTP to avoid closed. Processing takes only 2 minutes."
"ham","The release update is ready. Feedback welcome when you get time. No rush."
"ham","Reminder: service appointment is scheduled for 6:30 PM. I added it to the calendar."
"spam","WhatsApp: Video liking job: earn Rs 5000 per day from home. Message START to start. Do not ignore this message."
"spam","Alert: Do not ignore this message. Private post found with your name. Open www.account-check.example to remove it."
"ham","Telegram: Reminder: service appointment is scheduled for 10:30 AM. Please confirm once done."
"ham","DM: No rush. The assignment update is ready. Feedback welcome when you get time."
"ham","Telegram: Friend, meeting moved to tomorrow. Please confirm when free. Reference #4821."
"spam","Subject: BankSecure alert: unusual activity detected. click now to secure your UPI account. Reply WIN for details."
"ham","No rush. Class notes for ML are uploaded in the group folder."
"ham","WhatsApp: I will be near main office. I transferred $700 for booking. Please check and confirm."
"spam","Notification: Do not ignore this message. LinkedIn verification available today. Share login code to continue."
"spam","Notification: Part-time job: earn $700 per day from home. Message WIN to start. No documents required."
"spam","WhatsApp: Limited seats available. courier is pending. Pay Rs 19 redelivery fee at http://secure-login.example/verify"
"ham","Lunch at 1 PM? I can book the table if that works. Shared in the official group."
"ham","WhatsApp: Reminder: interview appointment is scheduled for 9 AM. No rush."
"ham","Notification: Thanks for sharing the proposal. I will read it tonight. No rush."
"spam","DM: forex bonus active for before midnight. Deposit Rs 500 and double returns. This link expires before midnight."
"spam","Subject: URGENT: profile will be blocked. claim now at www.account-check.example Processing takes only 2 minutes."
"ham","Notification: I added it to the calendar. Lunch at 1 PM? I can book the table if that works."
"ham","Subject: The release update is ready. Feedback welcome when you get time. Call me after 6:30 PM."
"ham","Notification: Cab is waiting near gate 5. Call me if you cannot find it. Bring your ID if needed."
"ham","Notification: We can discuss this later. Please bring bread on the way back."
"ham","WhatsApp: Neha, meeting moved to 3 PM. Please confirm when free. I added it to the calendar."
"ham","Telegram: No rush. Cab is waiting near gate 4. Call me if you cannot find it."
"ham","Reference #4307. Please bring vegetables on the way back."
"ham","Notification: Your parcel order is out for delivery. Track it in the official app. No rush."
"spam","WhatsApp: Part-time job: earn Rs 2000 per day from home. Message YES to start. Do not ignore this message."
"ham","WhatsApp: Bring your ID if needed. Please bring vegetables on the way back."
"spam","Notification: forex bonus active for within 24 hours. Deposit $700 and double returns. Reply WIN for details."
"ham","Your wallet statement is available in the official app. Reference #2582."
"ham","DM: Your package order is out for delivery. Track it in the official app. I will be near lab 2."
"ham","WhatsApp: Reference #2823. Priya, meeting moved to 6:30 PM. Please confirm when free."
"spam","Notification: Offer id FREE100. URGENT: cloud storage will be disabled. claim now at http://tiny.example/pay"
"spam","Notification: Only selected users can access this. PayFast alert: unusual activity detected. confirm identity to secure your bank account."
"spam","Only selected users can access this. shipment is pending. Pay a small redelivery fee at http://bonus.example/start"
"spam","DM: Congratulations Alex, you won free recharge. verify immediately before today. Only selected users can access this."
"ham","Update: Reminder: college appointment is scheduled for 3 PM. I will be near conference room."
"spam","Telegram: Your reward is already reserved. ShopKart alert: unusual activity detected. verify immediately to secure your UPI account."
"ham","Telegram: I transferred $100 for repair. Please check and confirm. We can discuss this later."
"spam","DM: courier is pending. Pay $1 redelivery fee at http://bonus.example/start Support ticket #6859 is open."
"ham","Reference #2781. Your profile statement is available in the official app."
"spam","Re: InstaHelp reward unlocked. Claim shopping voucher using code VIP999. Do not ignore this message."
"spam","Re: Limited seats available. Final notice: trading account access expires now. Verify now at http://tiny.example/pay"
"spam","Online work: earn $700 per day from home. Message START to start. Only selected users can access this."
"spam","WhatsApp: ShopKart alert: unusual activity detected. confirm identity to secure your card. No documents required."
"ham","WhatsApp: Lunch at 9 AM? I can book the table if that works. We can discuss this later."
"spam","Telegram: BankSecure alert: unusual activity detected. claim now to secure your UPI account. Processing takes only 2 minutes."
"spam","WhatsApp: No documents required. Warning: trading account will be restricted. click now at http://secure-login.example/verify"
"spam","WhatsApp: Support ticket #7652 is open. Your card KYC is incomplete. Send OTP to avoid restricted."
"ham","I will be near main office. I transferred $100 for groceries. Please check and confirm."
"ham","Telegram: Reminder: college appointment is scheduled for 6:30 PM. Call me after 10:30 AM."
"ham","Notification: Cab is waiting near gate 2. Call me if you cannot find it. Reference #6922."
"spam","Re: Limited seats available. Your bank account KYC is incomplete. Send OTP to avoid restricted."
"spam","Remote task: earn Rs 2000 per day from home. Message OK to start. Your reward is already reserved."
"ham","WhatsApp: Raj, meeting moved to 9 AM. Please confirm when free. I added it to the calendar."
"ham","WhatsApp: No rush. Reminder: support appointment is scheduled for 10:30 AM."
"ham","Telegram: Lunch at 9 AM? I can book the table if that works. Thanks again."
"ham","Notification: The dashboard update is ready. Feedback welcome when you get time. I added it to the calendar."
"ham","WhatsApp: Thanks again. Class notes for science are uploaded in the group folder."
"ham","DM: Shared in the official group. Lunch at 9 AM? I can book the table if that works."
"ham","Reminder: dentist appointment is scheduled for 6:30 PM. I will be near conference room."
"ham","Can you review the resume before tomorrow's call? I will be near room 101."
"spam","Notification: Congratulations Priya, you won cash prize. claim now before in 10 minutes. Do not ignore this message."
"spam","Re: Your reward is already reserved. Data entry work: earn Rs 2000 per day from home. Message OK to start."
"ham","Your cloud storage statement is available in the official app. Reference #9111."
"ham","DM: Call me after 6:30 PM. Class notes for Python are uploaded in the group folder."
"spam","DM: Your reward is already reserved. Remote task: earn Rs 5000 per day from home. Message OK to start."
"spam","WhatsApp: Video liking job: earn Rs 2000 per day from home. Message WIN to start. Reply WIN for details."
"ham","Telegram: Lunch at 6:30 PM? I can book the table if that works. Shared in the official group."
"ham","Notification: Bring your ID if needed. Lunch at 10:30 AM? I can book the table if that works."
"spam","DM: MailBox reward unlocked. Claim free recharge using code SAVE50. Reply JOIN for details."
"ham","WhatsApp: Thanks for sharing the notes. I will read it tonight. I added it to the calendar."
"spam","You are selected for Rs 50,000 instant loan. Reply START now. Offer id FREE100."
"ham","DM: I will be near main office. Reminder: support appointment is scheduled for 9 AM."
"spam","DM: Congratulations Raj, you won shopping voucher. confirm identity before within 24 hours. Reply YES for details."
"spam","WhatsApp: Reply JOIN for details. Final notice: card access expires in 10 minutes. Verify now at http://bonus.example/start"
"spam","Notification: Your email account KYC is incomplete. Send OTP to avoid restricted. Support ticket #3742 is open."
"ham","DM: I transferred Rs 2000 for groceries. Please check and confirm. We can discuss this later."
"ham","WhatsApp: Your UPI account statement is available in the official app. Shared in the official group."
"spam","Telegram: LinkedIn verification available today. Share login code to continue. Processing takes only 2 minutes."
"spam","Alert: Support ticket #4210 is open. Congratulations Friend, you won free recharge. verify immediately before in 10 minutes."
"spam","You are selected for Rs 1 lakh instant loan. Reply START now. Do not ignore this message."
"spam","Telegram: Processing takes only 2 minutes. Final notice: profile access expires before midnight. Verify now at www.claim-reward.example"
"ham","Subject: Your parcel order is out for delivery. Track it in the official app. I added it to the calendar."
"ham","DM: I will be near lab 2. Friend, meeting moved to 9 AM. Please confirm when free."
"spam","Subject: Your wallet KYC is incomplete. Send OTP to avoid suspended. Support ticket #5082 is open."
"spam","Alert: QuickPay reward unlocked. Claim shopping voucher using code CLAIM88. Do not ignore this message."
"spam","Re: investment bonus active for now. Deposit Rs 500 and double returns. Limited seats available."
"ham","Telegram: Please bring milk on the way back. Reference #3191."
"spam","Telegram: Final notice: UPI account access expires now. Verify now at www.claim-reward.example Offer id WIN24."
"ham","Telegram: No rush. Please bring tea on the way back."
"spam","Alert: Congratulations Raj, you won gift card. update details before in 10 minutes. Your reward is already reserved."
"ham","Notification: I will be near reception. Your package order is out for delivery. Track it in the official app."
"spam","Telegram: Part-time job: earn Rs 500 per day from home. Message START to start. Limited seats available."
"spam","Notification: parcel is pending. Pay $1 redelivery fee at www.account-check.example Do not ignore this message."
"ham","Subject: Shared in the official group. Class notes for history are uploaded in the group folder."
"ham","We can discuss this later. Neha, meeting moved to tomorrow. Please confirm when free."
"spam","DM: Limited seats available. Your card KYC is incomplete. Send OTP to avoid locked."
"ham","Subject: Reminder: service appointment is scheduled for 10:30 AM. Please confirm once done."
"ham","Telegram: I added it to the calendar. Your package order is out for delivery. Track it in the official app."
"ham","Notification: I transferred $700 for rent. Please check and confirm. No rush."
"ham","Notification: Your card statement is available in the official app. No rush."
"spam","Action required: wallet will be suspended. claim now at http://bonus.example/start Your reward is already reserved."
"spam","Notification: ShopKart alert: unusual activity detected. verify immediately to secure your email account. Processing takes only 2 minutes."
"spam","Telegram: You are selected for $5000 instant loan. Reply JOIN now. Reply JOIN for details."
